1;CYG OLO;Cygnus olor; ;Kyhmyjoutsen;Knölsvan;Mute Swan;1;0
2;CYG COL;Cygnus columbianus; ;Pikkujoutsen;Mindre sångsvan;Tundra Swan;1;0
3;CYG CYG;Cygnus cygnus; ;Laulujoutsen;Sångsvan;Whooper Swan;1;0
4;ANS FAB;Anser fabalis; ;Metsähanhi;Sädgås;Bean Goose;1;0
5;ANS BRA;Anser brachyrhynchus; ;Lyhytnokkahanhi;Spetsbergsgås;Pink-footed Goose;1;0
6;ANS ALB;Anser albifrons; ;Tundrahanhi;Bläsgås;Greater White-fronted Goose;1;0
7;ANS ERY;Anser erythropus; ;Kiljuhanhi;Fjällgås;Lesser White-fronted Goose;1;0
8;ANS ANS;Anser anser; ;Merihanhi;Grågås;Greylag Goose;1;0
9;ANS CAE;Anser caerulescens; ;Lumihanhi;Snögås;Snow Goose;1;0
10;BRA CAN;Branta canadensis;C;Kanadanhanhi;Kanadagås;Canada Goose;1;0
11;BRA LEU;Branta leucopsis; ;Valkoposkihanhi;Vitkindad gås;Barnacle Goose;1;0
12;BRA BER;Branta bernicla; ;Sepelhanhi;Prutgås;Brent Goose;1;0
13;BRA RUF;Branta ruficollis; ;Punakaulahanhi;Rödhalsad gås;Red-breasted Goose;1;0
14;TAD FER;Tadorna ferruginea; ;Ruostesorsa;Rostand;Ruddy Shelduck;1;0
15;TAD TAD;Tadorna tadorna; ;Ristisorsa;Gravand;Common Shelduck;1;0
16;AIX GAL;Aix galericulata;C;Mandariinisorsa;Mandarinand;Mandarin Duck;1;0
17;ANA PEN;Anas penelope; ;Haapana;Bläsand;Eurasian Wigeon;1;0
18;ANA AME;Anas americana; ;Amerikanhaapana;Amerikansk bläsand;American Wigeon;1;0
19;ANA STR;Anas strepera; ;Harmaasorsa;Snatterand;Gadwall;1;0
20;ANA CRE;Anas crecca; ;Tavi;Kricka;Common Teal;1;0
21;ANA CAR;Anas carolinensis; ;Amerikantavi;Amerikansk kricka;Green-winged Teal;1;0
22;ANA PLA;Anas platyrhynchos; ;Sinisorsa;Gräsand;Mallard;1;0
23;ANA RUB;Anas rubripes;;Nokisorsa;Svartand;American Black Duck;1;0
24;ANA ACU;Anas acuta; ;Jouhisorsa;Stjärtand;Northern Pintail;1;0
25;ANA QUE;Anas querquedula; ;Heinätavi;Årta;Garganey;1;0
26;ANA DIS;Anas discors; ;Sinisiipitavi;Blåvingad årta;Blue-winged Teal;1;0
27;ANA CLY;Anas clypeata; ;Lapasorsa;Skedand;Northern Shoveler;1;0
28;NET RUF;Netta rufina; ;Punapäänarsku;Rödhuvad dykand;Red-crested Pochard;1;0
29;AYT FER;Aythya ferina; ;Punasotka;Brunand;Common Pochard;1;0
30;AYT COL;Aythya collaris; ;Amerikantukkasotka;Ringand;Ring-necked Duck;1;0
31;AYT NYR;Aythya nyroca; ;Ruskosotka;Vitögd dykand;Ferruginous Duck;1;0
32;AYT FUL;Aythya fuligula; ;Tukkasotka;Vigg;Tufted Duck;1;0
33;AYT MAR;Aythya marila; ;Lapasotka;Bergand;Greater Scaup;1;0
34;AYT AFF;Aythya affinis;;Pikkulapasotka;Mindre bergand;Lesser Scaup;1;0
35;SOM MOL;Somateria mollissima; ;Haahka;Ejder;Common Eider;1;0
36;SOM SPE;Somateria spectabilis; ;Kyhmyhaahka;Praktejder;King Eider;1;0
37;POL STE;Polysticta stelleri; ;Allihaahka;Alförrädare;Steller's Eider;1;0
38;HIS HIS;Histrionicus histrionicus; ;Virta-alli;Strömand;Harlequin Duck;1;0
39;CLA HYE;Clangula hyemalis; ;Alli;Alfågel;Long-tailed Duck;1;0
40;MEL NIG;Melanitta nigra; ;Mustalintu;Sjöorre;Common Scoter;1;0
41;MEL PER;Melanitta perspicillata; ;Pilkkaniska;Vitnackad svärta;Surf Scoter;1;0
42;MEL FUS;Melanitta fusca; ;Pilkkasiipi;Svärta;Velvet Scoter;1;0
43;BUC CLA;Bucephala clangula; ;Telkkä;Knipa;Common Goldeneye;1;0
44;MER ALB;Mergus albellus; ;Uivelo;Salskrake;Smew;1;0
45;MER SER;Mergus serrator; ;Tukkakoskelo;Småskrake;Red-breasted Merganser;1;0
46;MER MER;Mergus merganser; ;Isokoskelo;Storskrake;Goosander;1;0
47;OXY JAM;Oxyura jamaicensis;C;Kuparisorsa;Amerikansk kopparand;Ruddy Duck;1;0
48;BON BON;Bonasa bonasia; ;Pyy;Järpe;Hazel Grouse;2;0
49;LAG LAG;Lagopus lagopus; ;Riekko;Dalripa;Willow Ptarmigan;2;0
50;LAG MUT;Lagopus muta; ;Kiiruna;Fjällripa;Rock Ptarmigan;2;0
51;TET RIX;Tetrao tetrix; ;Teeri;Orre;Black Grouse;2;0
52;TET URO;Tetrao urogallus; ;Metso;Tjäder;Western Capercaillie;2;0
53;PER PER;Perdix perdix; ;Peltopyy;Rapphöna;Grey Partridge;3;0
54;COT COT;Coturnix coturnix; ;Viiriäinen;Vaktel;Common Quail;3;0
55;PHA COL;Phasianus colchicus;C;Fasaani;Fasan;Common Pheasant;3;0
56;GAV STE;Gavia stellata; ;Kaakkuri;Smålom;Red-throated Diver;4;0
57;GAV ARC;Gavia arctica; ;Kuikka;Storlom;Black-throated Diver;4;0
58;GAV IMM;Gavia immer; ;Amerikanjääkuikka;Svartnäbbad islom;Great Northern Diver;4;0
59;GAV ADA;Gavia adamsii; ;Jääkuikka;Vitnäbbad islom;Yellow-billed Diver;4;0
60;TAC RUF;Tachybaptus ruficollis; ;Pikku-uikku;Smådopping;Little Grebe;5;0
61;POD CRI;Podiceps cristatus; ;Silkkiuikku;Skäggdopping;Great Crested Grebe;5;0
62;POD GRI;Podiceps grisegena; ;Härkälintu;Gråhakedopping;Red-necked Grebe;5;0
63;POD AUR;Podiceps auritus; ;Mustakurkku-uikku;Svarthakedopping;Horned Grebe;5;0
64;POD NIG;Podiceps nigricollis; ;Mustakaulauikku;Svarthalsad dopping;Black-necked Grebe;5;0
65;FUL GLA;Fulmarus glacialis; ;Myrskylintu;Stormfågel;Northern Fulmar;6;0
66;PUF GRI;Puffinus griseus; ;Nokiliitäjä;Grålira;Sooty Shearwater;6;0
67;PUF PUF;Puffinus puffinus; ;Pikkuliitäjä;Mindre lira;Manx Shearwater;6;0
68;HYD PEL;Hydrobates pelagicus; ;Merikeiju;Stormsvala;European Storm-Petrel;7;0
69;OCE LEU;Oceanodroma leucorhoa; ;Myrskykeiju;Klykstjärtad stormsvala;Leach's Storm-Petrel;7;0
70;OCE CAS;Oceanodroma castro; ;Madeirankeiju;Oceanlöpare;Madeiran Storm-Petrel;7;0
71;MOR BAS;Morus bassanus; ;Suula;Havssula;Northern Gannet;8;0
72;PHA CAR;Phalacrocorax carbo; ;Merimetso;Storskarv;Great Cormorant;9;0
73;PHA ARI;Phalacrocorax aristotelis; ;Karimetso;Toppskarv;European Shag;9;0
74;PEL ONO;Pelecanus onocrotalus;B;Pelikaani;Pelikan;Great White Pelican;10;0
75;BOT STE;Botaurus stellaris; ;Kaulushaikara;Rördrom;Great Bittern;11;0
